contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
parallel_i_max_filter, GNM, 3, 32768, 524288, 30, 15741852, yes
jarnik_prim, GNM, 0, 32768, 524288, 20, 16306479, yes
jarnik_prim, GNM, 1, 32768, 524288, 30, 16005326, yes
jarnik_prim, GNM, 2, 32768, 524288, 20, 16063066, yes
jarnik_prim, GNM, 3, 32768, 524288, 20, 16013576, yes
fast_kruskal, GNM, 0, 32768, 1048576, 30, 61605823, yes
fast_kruskal, GNM, 1, 32768, 1048576, 30, 61029054, yes
fast_kruskal, GNM, 2, 32768, 1048576, 30, 60951984, yes
fast_kruskal, GNM, 3, 32768, 1048576, 20, 61088495, yes
i_max_filter, GNM, 0, 32768, 1048576, 30, 21927547, yes
i_max_filter, GNM, 1, 32768, 1048576, 20, 21967159, yes
i_max_filter, GNM, 2, 32768, 1048576, 30, 22057419, yes
i_max_filter, GNM, 3, 32768, 1048576, 20, 22020269, yes
parallel_i_max_filter, GNM, 0, 32768, 1048576, 40, 19249875, yes
parallel_i_max_filter, GNM, 1, 32768, 1048576, 30, 19420687, yes
parallel_i_max_filter, GNM, 2, 32768, 1048576, 30, 19557399, yes
parallel_i_max_filter, GNM, 3, 32768, 1048576, 30, 19810061, yes
jarnik_prim, GNM, 0, 32768, 1048576, 30, 24171685, yes
jarnik_prim, GNM, 1, 32768, 1048576, 30, 24738932, yes
jarnik_prim, GNM, 2, 32768, 1048576, 30, 24697290, yes
jarnik_prim, GNM, 3, 32768, 1048576, 30, 24838904, yes
fast_kruskal, GNM, 0, 32768, 2097152, 40, 129328717, yes
fast_kruskal, GNM, 1, 32768, 2097152, 30, 128855971, yes
fast_kruskal, GNM, 2, 32768, 2097152, 40, 129141424, yes
fast_kruskal, GNM, 3, 32768, 2097152, 30, 128659378, yes
i_max_filter, GNM, 0, 32768, 2097152, 40, 31160380, yes
i_max_filter, GNM, 1, 32768, 2097152, 40, 31347921, yes
i_max_filter, GNM, 2, 32768, 2097152, 30, 31095958, yes
i_max_filter, GNM, 3, 32768, 2097152, 20, 30997468, yes
parallel_i_max_filter, GNM, 0, 32768, 2097152, 30, 25346249, yes
parallel_i_max_filter, GNM, 1, 32768, 2097152, 30, 25449739, yes
parallel_i_max_filter, GNM, 2, 32768, 2097152, 40, 25516281, yes
parallel_i_max_filter, GNM, 3, 32768, 2097152, 30, 25449250, yes
jarnik_prim, GNM, 0, 32768, 2097152, 30, 37739609, yes
jarnik_prim, GNM, 1, 32768, 2097152, 30, 38548369, yes
jarnik_prim, GNM, 2, 32768, 2097152, 30, 38153655, yes
jarnik_prim, GNM, 3, 32768, 2097152, 30, 38493579, yes
fast_kruskal, GNM, 0, 32768, 4194304, 30, 459057545, yes
fast_kruskal, GNM, 1, 32768, 4194304, 40, 263738059, yes
fast_kruskal, GNM, 2, 32768, 4194304, 30, 262825646, yes
fast_kruskal, GNM, 3, 32768, 4194304, 30, 263281161, yes
i_max_filter, GNM, 0, 32768, 4194304, 30, 42354375, yes
i_max_filter, GNM, 1, 32768, 4194304, 30, 42371375, yes
i_max_filter, GNM, 2, 32768, 4194304, 30, 42351444, yes
i_max_filter, GNM, 3, 32768, 4194304, 40, 42455476, yes
parallel_i_max_filter, GNM, 0, 32768, 4194304, 40, 32409043, yes
parallel_i_max_filter, GNM, 1, 32768, 4194304, 30, 32721148, yes
parallel_i_max_filter, GNM, 2, 32768, 4194304, 30, 32392503, yes
parallel_i_max_filter, GNM, 3, 32768, 4194304, 30, 32501194, yes
jarnik_prim, GNM, 0, 32768, 4194304, 40, 67710262, yes
jarnik_prim, GNM, 1, 32768, 4194304, 40, 67648130, yes
jarnik_prim, GNM, 2, 32768, 4194304, 40, 67345288, yes
jarnik_prim, GNM, 3, 32768, 4194304, 40, 68055637, yes
fast_kruskal, GNM, 0, 32768, 8388608, 40, 1009031337, yes
fast_kruskal, GNM, 1, 32768, 8388608, 30, 539321703, yes
fast_kruskal, GNM, 2, 32768, 8388608, 30, 539308179, yes
fast_kruskal, GNM, 3, 32768, 8388608, 30, 539847833, yes
i_max_filter, GNM, 0, 32768, 8388608, 30, 65024046, yes
i_max_filter, GNM, 1, 32768, 8388608, 30, 65151718, yes
i_max_filter, GNM, 2, 32768, 8388608, 30, 65313290, yes
i_max_filter, GNM, 3, 32768, 8388608, 30, 65457761, yes
parallel_i_max_filter, GNM, 0, 32768, 8388608, 30, 44919072, yes
parallel_i_max_filter, GNM, 1, 32768, 8388608, 40, 45871024, yes
parallel_i_max_filter, GNM, 2, 32768, 8388608, 30, 44518267, yes
parallel_i_max_filter, GNM, 3, 32768, 8388608, 40, 44789280, yes
jarnik_prim, GNM, 0, 32768, 8388608, 40, 120419414, yes
jarnik_prim, GNM, 1, 32768, 8388608, 40, 118945035, yes
jarnik_prim, GNM, 2, 32768, 8388608, 30, 120270921, yes
jarnik_prim, GNM, 3, 32768, 8388608, 40, 119848366, yes
fast_kruskal, GNM, 0, 32768, 16777216, 30, 2149093258, yes
fast_kruskal, GNM, 1, 32768, 16777216, 40, 1125855907, yes
fast_kruskal, GNM, 2, 32768, 16777216, 40, 1124372279, yes
fast_kruskal, GNM, 3, 32768, 16777216, 40, 1124914824, yes
i_max_filter, GNM, 0, 32768, 16777216, 30, 107549059, yes
i_max_filter, GNM, 1, 32768, 16777216, 30, 107081491, yes
i_max_filter, GNM, 2, 32768, 16777216, 30, 103062163, yes
i_max_filter, GNM, 3, 32768, 16777216, 30, 107524017, yes
parallel_i_max_filter, GNM, 0, 32768, 16777216, 40, 67943693, yes
parallel_i_max_filter, GNM, 1, 32768, 16777216, 30, 67921011, yes
parallel_i_max_filter, GNM, 2, 32768, 16777216, 30, 68394497, yes
parallel_i_max_filter, GNM, 3, 32768, 16777216, 30, 67779379, yes
jarnik_prim, GNM, 0, 32768, 16777216, 30, 223863203, yes
jarnik_prim, GNM, 1, 32768, 16777216, 40, 221799556, yes
jarnik_prim, GNM, 2, 32768, 16777216, 30, 221272250, yes
jarnik_prim, GNM, 3, 32768, 16777216, 30, 223040759, yes
fast_kruskal, GNM, 0, 32768, 33554432, 40, 4492914105, yes
fast_kruskal, GNM, 1, 32768, 33554432, 40, 2362444294, yes
fast_kruskal, GNM, 2, 32768, 33554432, 40, 2353708898, yes
fast_kruskal, GNM, 3, 32768, 33554432, 30, 2361765988, yes
i_max_filter, GNM, 0, 32768, 33554432, 30, 162457500, yes
i_max_filter, GNM, 1, 32768, 33554432, 40, 162511619, yes
i_max_filter, GNM, 2, 32768, 33554432, 30, 162732660, yes
i_max_filter, GNM, 3, 32768, 33554432, 40, 162894860, yes
parallel_i_max_filter, GNM, 0, 32768, 33554432, 30, 103648075, yes
parallel_i_max_filter, GNM, 1, 32768, 33554432, 30, 104782187, yes
parallel_i_max_filter, GNM, 2, 32768, 33554432, 30, 100837209, yes
parallel_i_max_filter, GNM, 3, 32768, 33554432, 40, 103800793, yes
jarnik_prim, GNM, 0, 32768, 33554432, 30, 418399956, yes
jarnik_prim, GNM, 1, 32768, 33554432, 30, 418327872, yes
jarnik_prim, GNM, 2, 32768, 33554432, 40, 418917635, yes
jarnik_prim, GNM, 3, 32768, 33554432, 40, 419706239, yes
fast_kruskal, GNM, 0, 65536, 65536, 30, 5693976, yes
fast_kruskal, GNM, 1, 65536, 65536, 30, 4280539, yes
